#Ariane 62 performance figures for LEO. Reference: "ARIANE 6 USER’S MANUAL", ISSUE 1, REVISION 0, MARCH 2018
Altitude (km);Inclination (deg);Performance (kg)
300;5;10350
300;10;10300
300;15;10200
300;20;10100
300;25;10000
300;30;9850
300;35;9700
300;40;9500
300;45;9300
300;50;9100
300;55;8900
300;60;8650
300;65;8400
300;70;8150
300;75;7900
300;80;7600
300;85;7350
300;90;7100
400;5;10200
400;10;10150
400;15;10100
400;20;10000
400;25;9850
400;30;9750
400;35;9550
400;40;9400
400;45;9200
400;50;9000
400;55;8750
400;60;8550
400;65;8300
400;70;8050
400;75;7750
400;80;7500
400;85;7250
400;90;7000
500;5;10050
500;10;10000
500;15;9950
500;20;9850
500;25;9700
500;30;9600
500;35;9400
500;40;9250
500;45;9050
500;50;8850
500;55;8600
500;60;8400
500;65;8150
500;70;7900
500;75;7600
500;80;7350
500;85;7100
500;90;6850
600;5;9900
600;10;9850
600;15;9800
600;20;9700
600;25;9550
600;30;9450
600;35;9250
600;40;9100
600;45;8900
600;50;8700
600;55;8450
600;60;8200
600;65;7950
600;70;7750
600;75;7450
600;80;7200
600;85;6950
600;90;6700
700;5;9700
700;10;9700
700;15;9600
700;20;9550
700;25;9400
700;30;9300
700;35;9100
700;40;8950
700;45;8750
700;50;8550
700;55;8300
700;60;8100
700;65;7850
700;70;7600
700;75;7350
700;80;7100
700;85;6850
700;90;6600
800;5;9550
800;10;9500
800;15;9450
800;20;9350
800;25;9250
800;30;9100
800;35;8950
800;40;8800
800;45;8600
800;50;8400
800;55;8150
800;60;7950
800;65;7700
800;70;7450
800;75;7200
800;80;6950
800;85;6700
800;90;6450
900;5;9400
900;10;9350
900;15;9300
900;20;9200
900;25;9100
900;30;8950
900;35;8800
900;40;8600
900;45;8450
900;50;8250
900;55;8000
900;60;7800
900;65;7550
900;70;7300
900;75;7050
900;80;6800
900;85;6600
900;90;6300
1000;5;9250
1000;10;9200
1000;15;9150
1000;20;9050
1000;25;8950
1000;30;8800
1000;35;8650
1000;40;8450
1000;45;8300
1000;50;8100
1000;55;7850
1000;60;7650
1000;65;7400
1000;70;7150
1000;75;6900
1000;80;6650
1000;85;6450
1000;90;6200
1100;5;9100
1100;10;9050
1100;15;9000
1100;20;8900
1100;25;8800
1100;30;8650
1100;35;8500
1100;40;8300
1100;45;8100
1100;50;7900
1100;55;7700
1100;60;7500
1100;65;7250
1100;70;7000
1100;75;6800
1100;80;6550
1100;85;6300
1100;90;6050
1200;5;8950
1200;10;8900
1200;15;8800
1200;20;8700
1200;25;8600
1200;30;8450
1200;35;8300
1200;40;8150
1200;45;7950
1200;50;7750
1200;55;7550
1200;60;7300
1200;65;7100
1200;70;6850
1200;75;6650
1200;80;6400
1200;85;6150
1200;90;5900
1300;5;8800
1300;10;8750
1300;15;8650
1300;20;8600
1300;25;8450
1300;30;8350
1300;35;8200
1300;40;8000
1300;45;7850
1300;50;7650
1300;55;7400
1300;60;7200
1300;65;6950
1300;70;6750
1300;75;6500
1300;80;6250
1300;85;6000
1300;90;5800
1400;5;8600
1400;10;8550
1400;15;8500
1400;20;8400
1400;25;8300
1400;30;8200
1400;35;8050
1400;40;7850
1400;45;7700
1400;50;7500
1400;55;7250
1400;60;7050
1400;65;6850
1400;70;6600
1400;75;6350
1400;80;6100
1400;85;5850
1400;90;5650
1500;5;8450
1500;10;8400
1500;15;8350
1500;20;8250
1500;25;8150
1500;30;8000
1500;35;7850
1500;40;7700
1500;45;7500
1500;50;7350
1500;55;7150
1500;60;6900
1500;65;6700
1500;70;6450
1500;75;6200
1500;80;5950
1500;85;5700
1500;90;5500
500;97.4;6450
600;97.8;6300
700;98.2;6150
800;98.6;6000
900;99;5800
