#Ariane 64 performance figures for MTO. Reference: ""ARIANE 6 USER’S MANUAL"", ISSUE 1, REVISION 0, MARCH 2018
Perigee (km);Apogee (km);Performance (kg)
25150;29950;6000
26000;26730;6000
26200;26200;6000
16000;29900;7000
17000;28930;7000
18000;23850;7000
19000;19860;7000
19230;19230;7000
11000;29860;8000
12120;24560;8000
13000;20540;8000
14000;17430;8000
14960;14960;8000
6765;29990;9000
7000;28730;9000
8000;23970;9000
9000;20090;9000
10000;16950;9000
11000;14410;9000
12000;12350;9000
12120;12120;9000
3556;29930;10000
4000;27730;10000
5000;23350;10000
6000;19660;10000
7000;16590;10000
8000;14050;10000
9000;11930;10000
10000;10160;10000
10060;10060;10000
2200;24960;11000
3000;21810;11000
4000;18350;11000
5000;15400;11000
6000;12910;11000
7000;10870;11000
8000;9230;11000
8570;8570;11000
2200;17710;12000
3000;15460;12000
4000;12930;12000
5000;10730;12000
6000;8850;12000
7130;7130;12000
2200;13360;13000
3000;11350;13000
4000;9240;13000
5000;7580;13000
6000;6380;13000
6200;6200;13000
2200;9880;14000
2500;9260;14000
3000;8310;14000
3500;7470;14000
4000;6740;14000
4500;6110;14000
5000;5590;14000
5300;5330;14000
2200;7360;15000
2500;6910;15000
3000;6200;15000
3500;5530;15000
4000;4900;15000
4350;4480;15000
2200;5630;16000
2500;5200;16000
3000;4520;16000
3500;3910;16000
3610;3780;16000
