#Soyuz 2.1 with Fregat upper stage performance figures for LEO. Reference: ST-GTD-SUM-01 - ISSUE 3 - REVISION 0 - APRIL 2001;;
Altitude (km);Inclination (deg);Performance (kg)
400;51.8;5900
600;51.8;5800
800;51.8;5600
1000;51.8;5400
1200;51.8;5200
1500;51.8;4900
400;64.9;5100
600;64.9;5025
800;64.9;4850
1000;64.9;4675
1200;64.9;4500
1500;64.9;4250
400;70.4;4950
600;70.4;4850
800;70.4;4650
1000;70.4;4525
1200;70.4;4375
1500;70.4;4100
400;90;3960
600;90;3930
800;90;3880
1000;90;3810
1200;90;3740
1500;90;3615
1600;90;3575
395;97;4825
600;97.8;4575
800;98.6;4300
1000;99.5;4100
1200;100.4;3850
1500;102;3500
1600;102.6;3400
1700;103.1;3300
