#Soyuz 2.1b with Fregat upper stage performance figures for LEO. Reference: ""ST-GTD-SUM-01 - ISSUE 3 - REVISION 0 - APRIL 2001"" increased by 15%
Altitude (km);Inclination (deg);Performance (kg)
400;51.8;6785
600;51.8;6670
800;51.8;6440
1000;51.8;6210
1200;51.8;5980
1500;51.8;5635
400;64.9;5865
600;64.9;5778.75
800;64.9;5577.5
1000;64.9;5376.25
1200;64.9;5175
1500;64.9;4887.5
400;70.4;5692.5
600;70.4;5577.5
800;70.4;5347.5
1000;70.4;5203.75
1200;70.4;5031.25
1500;70.4;4715
400;90;4554
600;90;4519.5
800;90;4462
1000;90;4381.5
1200;90;4301
1500;90;4157.25
1600;90;4111.25
395;97;5548.75
600;97.8;5261.25
800;98.6;4945
1000;99.5;4715
1200;100.4;4427.5
1500;102;4025
1600;102.6;3910
1700;103.1;3795
